Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",mostUsedSocmed
546,1,12,19,1,1,22,46,3,3,5,4,5,4,4,4,4,5,5,5,12
571,1,12,19,3,4,2,42,6,1,3,2,2,2,1,1,2,1,1,5,12
206,1,13,23,2,5,2,55,7,1,3,4,3,2,3,3,2,4,1,2,13
522,1,5,18,1,4,2,46,8,1,4,5,4,5,3,5,5,5,5,6,5
559,1,12,19,3,1,38,42,6,3,2,3,4,4,3,2,3,3,2,5,12
217,1,5,14,2,5,2,64,7,1,3,4,2,1,4,4,1,2,2,2,5
436,1,11,27,1,1,29,42,6,1,2,2,0,0,2,4,0,0,0,6,11
161,1,12,14,2,5,2,51,7,1,5,5,4,3,5,5,3,4,2,2,12
468,1,12,14,3,6,2,46,8,1,4,3,5,4,4,3,3,5,5,6,12
492,1,5,24,3,1,46,42,6,3,5,4,4,3,2,4,3,4,2,6,5
165,1,5,37,2,2,72,35,7,1,4,4,2,2,4,4,2,1,2,2,5
487,1,5,18,3,4,2,42,8,3,5,4,5,4,3,4,4,4,4,5,5
103,1,13,14,2,5,2,64,7,1,3,4,2,3,4,4,2,1,2,2,13
224,1,13,21,2,2,87,26,7,2,5,4,3,3,3,3,2,3,3,2,13
144,1,13,57,4,8,69,3,7,1,5,5,3,2,5,5,3,2,3,4,13
149,1,13,56,4,2,78,28,7,2,4,4,2,2,3,3,2,2,2,4,13
569,1,5,29,1,1,38,46,6,3,3,3,2,1,2,1,1,0,0,5,5
504,1,12,20,3,3,27,46,3,3,3,3,1,1,4,4,1,4,5,6,12
218,1,13,19,4,8,2,38,7,1,5,5,2,2,3,3,2,2,2,4,13
425,1,5,12,1,4,2,42,6,3,4,4,4,4,4,4,4,4,4,6,5
67,1,11,59,4,8,58,44,7,2,5,4,3,2,4,4,5,3,3,4,11
523,1,5,18,3,4,2,46,6,1,4,3,4,5,4,3,4,4,4,6,5
343,1,11,14,1,4,2,46,6,1,4,4,2,1,4,4,2,3,2,5,11
420,1,5,12,1,6,2,46,6,1,3,3,1,1,3,3,0,0,3,6,5
187,1,13,23,4,2,36,25,7,1,4,3,2,2,2,2,3,2,3,4,13
391,1,11,19,3,1,25,42,6,1,3,5,1,1,5,5,0,3,1,6,11
150,1,11,61,4,8,83,28,7,1,4,4,3,3,3,4,2,4,4,2,11
0,1,11,9,1,4,2,51,6,1,5,3,5,5,5,5,3,5,5,3,11
